Magazin;Füllraum;Restloch bei körperhöhe (in mm);Drahtlänge (in m) - bei draht-Æ (in mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cm3;10;20;30;40;50;60;70;80;90;100;110;;;;;;;;;;;;;;0,1;0,2;0,3;0,4;0,5;0,6;0,7;0,8;1;1,2;1,4;1,5;1,6;1,8
WZ 10.12;2,8;12;13,5;15;17;20;-;-;-;-;-;-;;;;;;;;;;;;;;188;52;24;14;9;6;4,5;3,5;2,4;1,5;-;-;-;-
WZ 10.15;7,8;15;16,5;18;20;22,5;-;-;-;-;-;-;;;;;;;;;;;;;;456;128;59;34;22;15;11,5;8,5;5,5;4,5;-;-;-;-
WZ 10.20;13,6;20;20,5;21,5;23;25,5;-;-;-;-;-;-;;;;;;;;;;;;;;912;257;119;68;44;31;23;17,5;11,5;8;6;-;-;-
WZ 10.25;21,5;25;25;26;27,5;30;-;-;-;-;-;-;;;;;;;;;;;;;;-;406;189;109;70;49;37;28;18;12,5;9,5;8;-;-
WZ 15.14;6;14;15;16;17,5;19,5;21,5;24;-;-;-;-;;;;;;;;;;;;;;403;113;52;30;19;13;10;7,5;5;3,5;-;-;-;-
WZ 15.18;13,8;18;18;18,5;19,5;21;23;26;-;-;-;-;;;;;;;;;;;;;;913;260;121;70;45;31;23,5;18;12;8;-;-;-;-
WZ 15.22;24,9;22;23;23,5;24,5;26;28;30,5;-;-;-;-;;;;;;;;;;;;;;-;470;219;126;82;59;43;32;21;14,5;11;-;-;-
WZ 15.27;41,2;27;28;29;30;31,5;33,5;36;-;-;-;-;;;;;;;;;;;;;;-;778;362;208;135;94;71;54;35;24;18;16;-;-
WZ 15.31;59,5;31;32;33;34,5;35,5;37,5;40;-;-;-;-;;;;;;;;;;;;;;-;-;523;300;195;137;103;78;51;35;26;23;20;-
WZ 15.36;78;36;37;37,5;38,5;40;42;44,5;-;-;-;-;;;;;;;;;;;;;;-;-;686;395;255;178;135;102;69;46;35;30;27;-
WZ 20.16;13,8;-;16,5;17,5;18,5;19,5;20,5;22;24;26,5;29;32;;;;;;;;;;;;;;-;260;121;70;45;31;23,5;18;12;8;-;-;-;-
WZ 20.20;25,8;-;20;20,7;21,5;22,5;24;25,5;27,5;29,5;32,5;35,5;;;;;;;;;;;;;;-;487;227;130;84;59;44;33;22;15;11,5;-;-;-
